magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
108,1125496,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron bio Primofiori,3.49,0.52,,,,,,,,,,,,
108,1125595,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange a bouche bio le kilo,2.99,0.6,,,,,,,,,,,,
108,2320356,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme gala bio,3.99,0.8,,,,,,,,,,,,
108,2942070,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,2.92,2.19,,,,,,,,,,,,
108,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,2.99,2.99,,,,,,,,,,,,
108,1125691,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme golden aop bio le kilo,3.99,0.6,,,,,,,,,,,,
108,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
108,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
108,3022746,Fruits et légumes,Fruits et légumes bio,Fruits bio,CITRON JAUNE BIO SACHET 4 FRUITS,,2.99,,,,,,,,,,,,
108,3060657,Fruits et légumes,Fruits et légumes bio,Fruits bio,POMELOS BIO FILET 2 FRUITS,3.98,1.99,,,,,,,,,,,,
108,960493,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme granny bio barquette 4 fruits,7.48,2.99,,,,,,,,,,,,
108,3076368,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI VERT BIO BARQUETTE 4 FRUITS,13.3,3.99,,,,,,,,,,,,
108,3081570,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI JAUNE BIO BARQUETTE 3 FRUITS,3.99,3.99,,,,,,,,,,,,
108,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,3.99,3.99,,,,,,,,,,,,
108,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,2.99,2.99,,,,,,,,,,,,
108,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,2.33,3.49,,,,,,,,,,,,
108,2432550,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron jaune bio,2.99,2.99,,,,,,,,,,,,
108,2603097,Fruits et légumes,Fruits et légumes bio,Légumes bio,Oignon jaune bio,2.99,0.36,,,,,,,,,,,,
108,1125565,Fruits et légumes,Fruits et légumes bio,Légumes bio,Carotte bio le kilo,2.69,0.19,,,,,,,,,,,,
108,1125559,Fruits et légumes,Fruits et légumes bio,Légumes bio,Tomate grappe bio le kilo,4.99,0.7,,,,,,,,,,,,
