magasin_id,product_id,category,subcategory,sub_sub_category,product name,price/unity [€/u],price [€],nutri-score,Valeur énergétique [kJ],Valeur énergétique [kCal],Matières grasses [g],Dont acides gras saturés [g],Dont acides gras mono-insaturés [g],Glucides [g],Dont sucres [g],Protéines [g],Fibres alimentaires [g],Sel [g],Sodium [mg]
120,1125496,Fruits et légumes,Fruits et légumes bio,Fruits bio,Citron bio Primofiori,4.29,0.69,,,,,,,,,,,,
120,2338746,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio 5 fruits,3.05,2.29,,,,,,,,,,,,
120,982534,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio barquette 4 fruits,5.98,2.99,,,,,,,,,,,,
120,2320362,Fruits et légumes,Fruits et légumes bio,Fruits bio,Patate douce bio le kilo,2.99,0.75,,,,,,,,,,,,
120,960490,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme bio golden barquette 4 fruits,2.99,2.99,,,,,,,,,,,,
120,1125592,Fruits et légumes,Fruits et légumes bio,Fruits bio,Clementine bio nules le kilo,3.99,0.3,,,,,,,,,,,,
120,1125595,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange a bouche bio le kilo,3.69,0.44,,,,,,,,,,,,
120,1125691,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme golden aop bio le kilo,3.99,0.6,,,,,,,,,,,,
120,2563443,Fruits et légumes,Fruits et légumes bio,Fruits bio,KIWI VERT BIO 4 FRUITS,2.99,2.99,,,,,,,,,,,,
120,960493,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme granny bio barquette 4 fruits,7.48,2.99,,,,,,,,,,,,
120,3060654,Fruits et légumes,Fruits et légumes bio,Fruits bio,ORANGE A DEGUSTER BIO FILET 1 KG,3.49,3.49,,,,,,,,,,,,
120,3062565,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme candine bio sachet 1.5 kg,2.66,3.99,,,,,,,,,,,,
120,2761986,Fruits et légumes,Fruits et légumes bio,Fruits bio,POIRE GUYOT BIO LE KILO,4.99,1.0,,,,,,,,,,,,
120,1371457,Fruits et légumes,Fruits et légumes bio,Fruits bio,Pomme Canada bio 4 fruits,3.49,3.49,,,,,,,,,,,,
120,2776470,Fruits et légumes,Fruits et légumes bio,Fruits bio,CLEMENTINE NULES BIO FILET 1KG,3.99,3.99,,,,,,,,,,,,
120,944197,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange bio a déguster 800g,3.49,3.49,,,,,,,,,,,,
120,2320392,Fruits et légumes,Fruits et légumes bio,Fruits bio,Mandarine bio,5.99,0.9,,,,,,,,,,,,
120,1414624,Fruits et légumes,Fruits et légumes bio,Fruits bio,Orange à jus bio vrac,4.99,1.5,,,,,,,,,,,,
120,1125670,Fruits et légumes,Fruits et légumes bio,Fruits bio,Clementine feuille bio,5.49,0.49,,,,,,,,,,,,
120,2320347,Fruits et légumes,Fruits et légumes bio,Fruits bio,Lime bio le kilo,5.99,0.6,,,,,,,,,,,,
120,2448123,Fruits et légumes,Fruits et légumes bio,Fruits bio,Abricot bio,5.49,0.99,,,,,,,,,,,,
120,2448120,Fruits et légumes,Fruits et légumes bio,Fruits bio,Nectarine jaune bio,6.99,1.82,,,,,,,,,,,,
120,1257952,Fruits et légumes,Fruits et légumes bio,Fruits bio,Poire conférence bio le kilo,4.99,0.75,,,,,,,,,,,,
120,683551,Fruits et légumes,Fruits et légumes bio,Fruits bio,Banane bio,1.72,1.89,,,,,,,,,,,,
120,1125565,Fruits et légumes,Fruits et légumes bio,Légumes bio,Carotte bio le kilo,2.69,0.38,,,,,,,,,,,,
120,1125577,Fruits et légumes,Fruits et légumes bio,Légumes bio,Courgette verte bio le kilo,4.99,1.0,,,,,,,,,,,,
120,1125559,Fruits et légumes,Fruits et légumes bio,Légumes bio,Tomate grappe bio le kilo,5.99,1.56,,,,,,,,,,,,
120,15896,Fruits et légumes,Fruits et légumes bio,Légumes bio,Pomme de terre bio cora 1.5 kg,2.66,3.99,,,,,,,,,,,,
120,1091575,Fruits et légumes,Fruits et légumes bio,Légumes bio,Betterave entiere cuite bio 500 g,3.38,1.69,,,,,,,,,,,,
120,1125580,Fruits et légumes,Fruits et légumes bio,Légumes bio,Aubergine bio le kilo,3.99,1.4,,,,,,,,,,,,
