region_name,category,mean price [€],min price [€],max price [€]
Auvergne-Rhône-Alpes,Epicerie sucrée,3.7431323529411764,0.68,50.0
Auvergne-Rhône-Alpes,Epicerie salée,2.874666118421053,0.39,36.58
Auvergne-Rhône-Alpes,Fruits et légumes,3.023533834586466,0.08,18.99
Auvergne-Rhône-Alpes,"Pains, viennoiseries et pâtisseries",3.9928385698808233,0.42,50.0
Auvergne-Rhône-Alpes,"Produits laitiers, oeufs, fromages et desserts",3.589351289833081,0.26,99.99
Auvergne-Rhône-Alpes,Surgelés,5.141821756225426,0.99,29.9
Auvergne-Rhône-Alpes,Traiteur,4.542975746268657,0.23,42.9
Auvergne-Rhône-Alpes,"Viandes, charcuterie et poissons",6.817940354147251,0.6,125.95
Bourgogne-Franche-Comté,Epicerie salée,2.9421240241567244,0.4,39.95
Bourgogne-Franche-Comté,Epicerie sucrée,3.580494325831891,0.66,29.99
Bourgogne-Franche-Comté,Fruits et légumes,3.0313998170173835,0.2,16.99
Bourgogne-Franche-Comté,"Pains, viennoiseries et pâtisseries",4.5022803114571746,0.4,25.0
Bourgogne-Franche-Comté,"Produits laitiers, oeufs, fromages et desserts",3.43500885403491,0.5,118.64
Bourgogne-Franche-Comté,Surgelés,5.472222222222222,0.99,39.9
Bourgogne-Franche-Comté,Traiteur,4.41927027027027,0.2,109.9
Bourgogne-Franche-Comté,"Viandes, charcuterie et poissons",6.337139423076923,0.64,99.9
Bretagne,Epicerie salée,3.2967762557077624,0.39,49.9
Bretagne,Epicerie sucrée,3.9325693160813313,0.63,31.99
Bretagne,Fruits et légumes,3.214191419141914,0.34,19.99
Bretagne,"Pains, viennoiseries et pâtisseries",3.455096618357488,0.5,20.5
Bretagne,"Produits laitiers, oeufs, fromages et desserts",3.356360071301248,0.51,89.99
Bretagne,Surgelés,5.6563403263403265,0.99,38.9
Bretagne,Traiteur,4.330467128027682,0.19,109.9
Bretagne,"Viandes, charcuterie et poissons",7.411795705920625,0.38,63.43
Centre-Val de Loire,Epicerie salée,2.831725258493353,0.39,36.57
Centre-Val de Loire,Epicerie sucrée,3.249306506849315,0.64,21.44
Centre-Val de Loire,Fruits et légumes,2.991177325581395,0.17,10.99
Centre-Val de Loire,"Pains, viennoiseries et pâtisseries",3.9007202216066483,0.4,21.99
Centre-Val de Loire,"Produits laitiers, oeufs, fromages et desserts",3.5205180467091295,0.51,119.8
Centre-Val de Loire,Surgelés,4.958820143884893,0.99,32.34
Centre-Val de Loire,Traiteur,4.148388489208633,0.23,36.92
Centre-Val de Loire,"Viandes, charcuterie et poissons",6.026496710526316,0.6,61.46
Grand Est,Epicerie salée,3.0359138325841744,0.4,57.0
Grand Est,Epicerie sucrée,3.857920013386881,0.58,45.96
Grand Est,Fruits et légumes,3.2064943457189012,0.21,19.99
Grand Est,"Pains, viennoiseries et pâtisseries",4.0178125,0.5,24.99
Grand Est,"Produits laitiers, oeufs, fromages et desserts",3.5496065647482014,0.49,99.99
Grand Est,Surgelés,5.584800868935553,0.99,42.57
Grand Est,Traiteur,4.340966458214895,0.2,67.39
Grand Est,"Viandes, charcuterie et poissons",6.346729559748428,0.27,68.21
Hauts-de-France,Epicerie salée,2.8804077573346594,0.4,57.0
Hauts-de-France,Epicerie sucrée,3.6675493594574227,0.66,29.9
Hauts-de-France,Fruits et légumes,3.1032111512648424,0.14,17.99
Hauts-de-France,"Pains, viennoiseries et pâtisseries",4.212218934911243,0.44,34.95
