region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Conserves de légumes,2.38,0.81,6.29,0.979,0.021,0.0,0.0,0.0,0.27
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Conserves de poisson,2.71,0.89,6.73,0.102,0.437,0.354,0.083,0.024,0.48
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Plats cuisinés en conserve et bocaux,3.23,0.49,6.85,0.324,0.612,0.064,0.0,0.0,0.49
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Plats cuisinés micro-ondable et déshydratés,2.07,0.72,3.99,0.106,0.518,0.2,0.176,0.0,0.23
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,"Pâtés, terrines, foie gras et conserves de viande",2.95,1.41,6.12,0.0,0.0,0.0,0.394,0.606,0.67
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Bouillons et aides culinaires,2.52,0.84,6.31,0.061,0.256,0.561,0.061,0.061,0.23
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Herbes et épices,2.71,1.05,5.83,0.813,0.023,0.117,0.041,0.006,0.34
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Huiles,4.4,1.84,6.93,0.0,0.0,0.592,0.408,0.0,0.21
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Ketchup, mayonnaise, moutarde et sauces froides",2.42,0.79,5.99,0.0,0.0,0.157,0.709,0.134,0.63
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Olives, cornichons, câpres et légumes marinés",3.21,0.73,5.99,0.0,0.069,0.931,0.0,0.0,0.75
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Sauces tomate et sauces à cuisiner,2.28,0.65,5.99,0.55,0.186,0.132,0.132,0.0,0.36
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Sel et poivre,2.72,0.39,5.28,0.766,0.021,0.213,0.0,0.0,0.62
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Vinaigres, vinaigrettes et sauces crudités",2.59,0.49,6.83,0.0,0.203,0.407,0.39,0.0,0.68
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Biscuits salés,1.76,0.45,6.75,0.0,0.028,0.29,0.424,0.258,0.41
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,"Cacahuètes, pistaches et mélanges",2.95,0.82,6.49,0.144,0.253,0.479,0.123,0.0,0.05
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Chips,2.18,0.81,5.25,0.0,0.064,0.857,0.079,0.0,0.04
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,"Olives, cornichons, câpres et légumes marinés",3.15,0.73,6.28,0.0,0.056,0.926,0.019,0.0,0.77
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Saucisses cocktail,2.8,1.18,4.99,0.0,0.0,0.0,0.462,0.538,0.07
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Tuiles et tortillas,2.24,0.95,5.25,0.0,0.186,0.628,0.186,0.0,0.02
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs","Blés, semoules et céréales",2.5,0.99,4.4,0.913,0.038,0.048,0.0,0.0,0.05
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Légumes secs,2.73,1.2,5.05,1.0,0.0,0.0,0.0,0.0,0.48
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Purées,2.66,1.3,4.9,0.793,0.207,0.0,0.0,0.0,0.06
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Pâtes,1.7,0.91,4.43,0.981,0.006,0.013,0.0,0.0,0.22
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Riz,2.55,0.99,4.86,0.495,0.474,0.031,0.0,0.0,0.28
