region_name,category,subcategory,subsubcategory,mean price [€],min price [€],max price [€],A,B,C,D,E,nutri-score null percentage
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Conserves de légumes,2.38,0.81,6.29,97.89999999999999,2.1,0.0,0.0,0.0,27.0
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Conserves de poisson,2.71,0.89,6.73,10.2,43.7,35.4,8.3,2.4,48.0
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Plats cuisinés en conserve et bocaux,3.23,0.49,6.85,32.4,61.199999999999996,6.4,0.0,0.0,49.0
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,Plats cuisinés micro-ondable et déshydratés,2.07,0.72,3.99,10.6,51.800000000000004,20.0,17.599999999999998,0.0,23.0
Auvergne-Rhône-Alpes,Epicerie salée,Conserves et plats cuisinés,"Pâtés, terrines, foie gras et conserves de viande",2.95,1.41,6.12,0.0,0.0,0.0,39.4,60.6,67.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Bouillons et aides culinaires,2.52,0.84,6.31,6.1,25.6,56.10000000000001,6.1,6.1,23.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Herbes et épices,2.71,1.05,5.83,81.3,2.3,11.700000000000001,4.1000000000000005,0.6,34.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Huiles,4.4,1.84,6.93,0.0,0.0,59.199999999999996,40.8,0.0,21.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Ketchup, mayonnaise, moutarde et sauces froides",2.42,0.79,5.99,0.0,0.0,15.7,70.89999999999999,13.4,63.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Olives, cornichons, câpres et légumes marinés",3.21,0.73,5.99,0.0,6.9,93.10000000000001,0.0,0.0,75.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Sauces tomate et sauces à cuisiner,2.28,0.65,5.99,55.00000000000001,18.6,13.200000000000001,13.200000000000001,0.0,36.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons",Sel et poivre,2.72,0.39,5.28,76.6,2.1,21.3,0.0,0.0,62.0
Auvergne-Rhône-Alpes,Epicerie salée,"Huiles, épices, condiments, sauces, bouillons","Vinaigres, vinaigrettes et sauces crudités",2.59,0.49,6.83,0.0,20.3,40.699999999999996,39.0,0.0,68.0
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Biscuits salés,1.76,0.45,6.75,0.0,2.8000000000000003,28.999999999999996,42.4,25.8,41.0
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,"Cacahuètes, pistaches et mélanges",2.95,0.82,6.49,14.399999999999999,25.3,47.9,12.3,0.0,5.0
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Chips,2.18,0.81,5.25,0.0,6.4,85.7,7.9,0.0,4.0
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,"Olives, cornichons, câpres et légumes marinés",3.15,0.73,6.28,0.0,5.6000000000000005,92.60000000000001,1.9,0.0,77.0
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Saucisses cocktail,2.8,1.18,4.99,0.0,0.0,0.0,46.2,53.800000000000004,7.000000000000001
Auvergne-Rhône-Alpes,Epicerie salée,Pour l'apéritif,Tuiles et tortillas,2.24,0.95,5.25,0.0,18.6,62.8,18.6,0.0,2.0
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs","Blés, semoules et céréales",2.5,0.99,4.4,91.3,3.8,4.8,0.0,0.0,5.0
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Légumes secs,2.73,1.2,5.05,100.0,0.0,0.0,0.0,0.0,48.0
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Purées,2.66,1.3,4.9,79.3,20.7,0.0,0.0,0.0,6.0
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Pâtes,1.7,0.91,4.43,98.1,0.6,1.3,0.0,0.0,22.0
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Riz,2.55,0.99,4.86,49.5,47.4,3.1,0.0,0.0,28.000000000000004
Auvergne-Rhône-Alpes,Epicerie salée,"Pâtes, riz, purée, légumes secs",Sauces tomate et sauces à cuisiner,2.22,0.64,5.99,52.800000000000004,17.9,15.4,13.8,0.0,34.0
Auvergne-Rhône-Alpes,Epicerie salée,Saveurs du monde,Asie,2.9,0.58,6.85,4.3999999999999995,17.5,39.300000000000004,27.700000000000003,11.200000000000001,40.0
Auvergne-Rhône-Alpes,Epicerie salée,Saveurs du monde,Créole,2.38,0.65,6.16,9.5,23.799999999999997,42.9,23.799999999999997,0.0,0.0
Auvergne-Rhône-Alpes,Epicerie salée,Saveurs du monde,Europe et Méditerrannée,3.08,1.11,6.81,4.3,6.4,53.2,29.799999999999997,6.4,73.0
Auvergne-Rhône-Alpes,Epicerie salée,Saveurs du monde,Grande-Bretagne et USA,4.31,1.64,6.75,0.0,0.0,20.0,80.0,0.0,72.0
Auvergne-Rhône-Alpes,Epicerie salée,Saveurs du monde,Orient,2.71,0.73,4.7,28.1,15.6,12.5,34.4,9.4,16.0
Auvergne-Rhône-Alpes,Epicerie salée,Saveurs du monde,Tex Mex,3.66,0.99,6.98,12.2,30.5,41.5,13.4,2.4,13.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Biscuits,Biscuits au chocolat et cookies,2.33,0.85,5.99,0.0,0.0,5.6000000000000005,38.9,55.60000000000001,64.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Biscuits,Biscuits aux fruits,1.79,0.95,2.99,0.0,0.0,0.0,60.0,40.0,32.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Biscuits,"Biscuits secs, sablés et assortiments",2.35,0.7,8.99,0.0,0.0,0.0,16.900000000000002,83.1,55.00000000000001
Auvergne-Rhône-Alpes,Epicerie sucrée,Cafés,Café soluble,4.71,2.09,7.79,0.0,0.0,0.0,54.50000000000001,45.5,79.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Cafés,Chicorée,4.33,1.44,7.79,44.4,22.2,0.0,0.0,33.300000000000004,31.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Cafés,Dosettes et capsules,4.91,1.59,8.99,5.3,21.099999999999998,10.5,47.4,15.8,91.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Chocolats et confiseries,Bonbons,2.61,0.89,8.95,0.0,8.6,2.9000000000000004,74.3,14.299999999999999,81.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Chocolats et confiseries,Confiseries de chocolat,3.79,1.0,8.13,0.0,0.0,0.0,5.8999999999999995,94.1,76.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Chocolats et confiseries,Confiseries de poche et chewing-gums,2.98,0.85,6.85,0.0,0.0,0.0,100.0,0.0,99.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Chocolats et confiseries,Tablettes de chocolat,2.93,0.94,8.4,0.0,0.0,0.0,21.8,78.2,76.0
Auvergne-Rhône-Alpes,Epicerie sucrée,"Gâteaux moelleux, crêpes et gaufres","Gaufres, gaufrettes et crêpes",2.42,0.99,4.98,0.0,0.0,4.0,24.0,72.0,60.0
Auvergne-Rhône-Alpes,Epicerie sucrée,"Gâteaux moelleux, crêpes et gaufres","Madeleines, cakes et pâtisseries moelleuses",2.92,0.85,5.46,0.0,0.0,13.200000000000001,64.9,21.9,42.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Petit déjeuner,Biscottes et biscuits petit déjeuner,2.35,0.89,4.54,13.900000000000002,36.1,27.800000000000004,8.3,13.900000000000002,61.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Petit déjeuner,Brioches et pains au lait,3.09,1.45,7.1,0.0,16.7,41.699999999999996,41.699999999999996,0.0,12.0
Auvergne-Rhône-Alpes,Epicerie sucrée,Petit déjeuner,"Confitures, miels et tartinables",3.59,1.13,8.67,4.8,0.0,39.0,53.300000000000004,2.9000000000000004,51.0
