price/kg,price,product name,nutri-score,Valeur énergétique en kJ,Valeur énergétique en kCal,Matières grasses,Dont acides gras saturés,Glucides,Dont sucres,Protéines,Sel,category,subcategory,sub_sub_category,Fibres alimentaires,Sodium
"3,78€/kg","2,27",Cora trio de poivrons 600g,A,97.00 kJ,23.00 kcal,< 0.50 g,< 0.10 g,4.00 g,3.00 g,0.90 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"2,32€/kg","2,32",Cora haricots verts extra-fins 1kg,A,142.00 kJ,34.00 kcal,< 0.50 g,0 g,4.70 g,2.10 g,1.70 g,0.02 g,Surgelés,Légumes et fruits,Légumes,,
"2,59€/kg","2,59",Cora oignons émincés 1kg,A,166.00 kJ,39.00 kcal,< 0.50 g,0 g,7.90 g,5.60 g,1.20 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"2,88€/kg","2,59",Cora brocolis en fleurettes 900g,A,110.00 kJ,26.00 kcal,< 0.50 g,< 0.10 g,2.90 g,1.80 g,2.20 g,0.03 g,Surgelés,Légumes et fruits,Légumes,,
"2,39€/kg","2,39",Cora petits pois extra-fins 1kg,A,248.00 kJ,59.00 kcal,0.90 g,0.20 g,5.50 g,3.00 g,5.00 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"1,94€/kg","1,94",Cora courgettes en rondelles 1kg,,68.60 kJ,16.30 kcal,0.10 g,0.08 g,2.20 g,0.60 g,1.10 g,0.05 g,Surgelés,Légumes et fruits,Légumes,1.10 g,
"1,58€/kg","1,58",Cora épinards hachés en portions 1kg,A,99.00 kJ,24.00 kcal,0.80 g,< 0.10 g,< 0.50 g,< 0.50 g,3.10 g,0.04 g,Surgelés,Légumes et fruits,Légumes,,
"1,61€/kg","1,61",Cora épinards en branches 1kg,A,116.00 kJ,28.00 kcal,0.50 g,0.10 g,1.80 g,0.70 g,3.30 g,0.02 g,Surgelés,Légumes et fruits,Légumes,,
"2,58€/kg","2,58",Cora champignons de Paris émincés 1er choix 1kg,A,51.00 kJ,12.00 kcal,< 0.50 g,0 g,< 0.50 g,< 0.50 g,2.30 g,0.02 g,Surgelés,Légumes et fruits,Légumes,,
"2,35€/kg","1,41",Nature bio haricots verts extra-fins bio 600g,A,145.00 kJ,35.00 kcal,0.50 g,0.10 g,4.70 g,2.10 g,1.70 g,0.02 g,Surgelés,Légumes et fruits,Légumes,4.10 g,
"1,44€/kg","1,44",Cora carottes en rondelles 1kg,,117.50 kJ,28.10 kcal,0.10 g,0.04 g,4.20 g,2.50 g,0.80 g,0.12 g,Surgelés,Légumes et fruits,Légumes,3.60 g,
"2,05€/kg","2,05",Cora épinards hachés à la crème 1kg,A,183.00 kJ,44.00 kcal,2.40 g,1.20 g,2.30 g,1.00 g,2.20 g,0.65 g,Surgelés,Légumes et fruits,Légumes,,
"3,07€/kg","2,30",Bonduelle l'épinard feuilles préservées sans résidu pesticides 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"7,57€/kg","2,27",Cora palets choux fleurs brocolis carottes 300g,A,395.00 kJ,94.00 kcal,5.00 g,0.60 g,8.70 g,2.80 g,2.40 g,0.99 g,Surgelés,Légumes et fruits,Légumes,,
"1,60€/kg","1,60",Cora poireaux en rondelles 1kg,,78.10 kJ,18.70 kcal,0.10 g,0.05 g,1.90 g,1.40 g,1.30 g,0.07 g,Surgelés,Légumes et fruits,Légumes,2.50 g,
"2,22€/kg","2,22",Cora choux-fleurs en fleurettes 1kg,A,131.00 kJ,31.00 kcal,0.90 g,0.20 g,2.10 g,1.80 g,2.90 g,< 0.01 g,Surgelés,Légumes et fruits,Légumes,,
"4,65€/kg","3,49",Bonduelle haricots verts extra-fin sans résidu pesticides 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"3,32€/kg","1,99","Cora trio de fleurettes choux-fleurs, brocolis, choux romanesco 600g",A,121.00 kJ,29.00 kcal,0.80 g,0.20 g,1.40 g,1.20 g,3.00 g,0.03 g,Surgelés,Légumes et fruits,Légumes,,
"4,97€/kg","2,98",Nature bio brocolis 600g,A,119.00 kJ,29.00 kcal,0.80 g,0.20 g,1.10 g,0.90 g,3.10 g,0.03 g,Surgelés,Légumes et fruits,Légumes,2.30 g,
"7,57€/kg","2,27",Cora palets poireaux carottes pomme de terre 300g,B,465.00 kJ,111.00 kcal,6.50 g,0.90 g,11.00 g,2.80 g,2.20 g,0.79 g,Surgelés,Légumes et fruits,Légumes,,
"4,65€/kg","3,49",Bonduelle le petit pois extra-fondant sans résidu pesticides 750g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"13,30€/kg","3,99","Cassegrain lasagnes aux légumes du soleil, mozzarella fondante 300g",,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"9,98€/kg","3,99","Cassegrain aubergines à l'italienne, mozzarella fondante 400g",,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"13,30€/kg","3,99","Cassegrain parmentier de patates douces, sarrasin grillé et crumble de noisettes 300g",,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"9,98€/kg","3,99","Cassegrain légumes à la provençale, crumble aux graines de courge 400g",,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"9,98€/kg","3,99","Cassegrain butternut, carottes et panais, croustillant aux graines de lin 400g",A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
"2,58€/kg","2,58",Cora julienne de légumes 1kg,A,84.00 kJ,20.00 kcal,< 0.50 g,< 0.10 g,3.00 g,2.60 g,0.80 g,0.05 g,Surgelés,Légumes et fruits,Légumes,,
"2,37€/kg","2,37",Cora haricots verts plats coupés 1kg,,132.50 kJ,31.70 kcal,0.50 g,0.10 g,3.50 g,1.80 g,1.70 g,0.02 g,Surgelés,Légumes et fruits,Légumes,3.20 g,
"5,01€/kg","3,76",Cora poêlée légumes grillés 750g,A,156.00 kJ,37.00 kcal,0.60 g,0.10 g,5.40 g,4.70 g,1.30 g,0.58 g,Surgelés,Légumes et fruits,Légumes,2.50 g,
"2,43€/kg","2,43",Cora choux de bruxelles 1kg,,184.50 kJ,44.30 kcal,1.30 g,0.30 g,2.50 g,2.40 g,3.50 g,0.02 g,Surgelés,Légumes et fruits,Légumes,4.30 g,
"5,44€/kg","2,72",Findus épinards hachés à la crème fraîche 500g,A,,,,,,,,,Surgelés,Légumes et fruits,Légumes,,
